class,attribute,visibility,name,index,type,primitive,nullness
java.awt.image.ColorModel,field,,pData,-1,,,Unknown
java.awt.image.ColorModel,field,,pixel_bits,-1,,,Unknown
java.awt.image.ColorModel,field,,nBits,-1,,,Unknown
java.awt.image.ColorModel,field,,transparency,-1,,,Unknown
java.awt.image.ColorModel,field,,supportsAlpha,-1,,,Unknown
java.awt.image.ColorModel,field,,isAlphaPremultiplied,-1,,,Unknown
java.awt.image.ColorModel,field,,numComponents,-1,,,Unknown
java.awt.image.ColorModel,field,,numColorComponents,-1,,,Unknown
java.awt.image.ColorModel,field,,colorSpace,-1,,,Unknown
java.awt.image.ColorModel,field,,colorSpaceType,-1,,,Unknown
java.awt.image.ColorModel,field,,maxBits,-1,,,Unknown
java.awt.image.ColorModel,field,,is_sRGB,-1,,,Unknown
java.awt.image.ColorModel,field,,transferType,-1,,,Unknown
java.awt.image.ColorModel,field,,loaded,-1,,,Unknown
java.awt.image.ColorModel,field,,RGBdefault,-1,,,Unknown
java.awt.image.ColorModel,field,,l8Tos8,-1,,,Unknown
java.awt.image.ColorModel,field,,s8Tol8,-1,,,Unknown
java.awt.image.ColorModel,field,,l16Tos8,-1,,,Unknown
java.awt.image.ColorModel,field,,s8Tol16,-1,,,Unknown
java.awt.image.ColorModel,field,,g8Tos8Map,-1,,,Unknown
java.awt.image.ColorModel,field,,lg16Toog8Map,-1,,,Unknown
java.awt.image.ColorModel,field,,g16Tos8Map,-1,,,Unknown
java.awt.image.ColorModel,field,,lg16Toog16Map,-1,,,Unknown
java.awt.image.ColorModel,method,,loadLibraries()V,-1,V,true,Unknown
java.awt.image.ColorModel,method,,initIDs()V,-1,V,true,Unknown
java.awt.image.ColorModel,method,,getRGBdefault()Ljava/awt/image/ColorModel;,-1,Ljava/awt/image/ColorModel;,false,Unknown
java.awt.image.ColorModel,method,,<init>(I)V,-1,V,true,Unknown
java.awt.image.ColorModel,method,,<init>(I)V,0,I,true,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,-1,V,true,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,0,I,true,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,1,[I,false,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,2,Ljava/awt/color/ColorSpace;,false,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,3,Z,true,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,4,Z,true,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,5,I,true,Unknown
java.awt.image.ColorModel,method,,<init>(I[ILjava/awt/color/ColorSpace;ZZII)V,6,I,true,Unknown
java.awt.image.ColorModel,method,,hasAlpha()Z,-1,Z,true,Unknown
java.awt.image.ColorModel,method,,isAlphaPremultiplied()Z,-1,Z,true,Unknown
java.awt.image.ColorModel,method,,getTransferType()I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getPixelSize()I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getComponentSize(I)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getComponentSize(I)I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getComponentSize()[I,-1,[I,false,Unknown
java.awt.image.ColorModel,method,,getTransparency()I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getNumComponents()I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getNumColorComponents()I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getRed(I)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getRed(I)I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getGreen(I)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getGreen(I)I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getBlue(I)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getBlue(I)I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getAlpha(I)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getAlpha(I)I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getRGB(I)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getRGB(I)I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getRed(Ljava/lang/Object;)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getRed(Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getGreen(Ljava/lang/Object;)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getGreen(Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getBlue(Ljava/lang/Object;)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getBlue(Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getAlpha(Ljava/lang/Object;)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getAlpha(Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getRGB(Ljava/lang/Object;)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getRGB(Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getDataElements(ILjava/lang/Object;)Ljava/lang/Object;,-1,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getDataElements(ILjava/lang/Object;)Ljava/lang/Object;,0,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElements(ILjava/lang/Object;)Ljava/lang/Object;,1,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getComponents(I[II)[I,-1,[I,false,Unknown
java.awt.image.ColorModel,method,,getComponents(I[II)[I,0,I,true,Unknown
java.awt.image.ColorModel,method,,getComponents(I[II)[I,1,[I,false,Unknown
java.awt.image.ColorModel,method,,getComponents(I[II)[I,2,I,true,Unknown
java.awt.image.ColorModel,method,,getComponents(Ljava/lang/Object;[II)[I,-1,[I,false,Unknown
java.awt.image.ColorModel,method,,getComponents(Ljava/lang/Object;[II)[I,0,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getComponents(Ljava/lang/Object;[II)[I,1,[I,false,Unknown
java.awt.image.ColorModel,method,,getComponents(Ljava/lang/Object;[II)[I,2,I,true,Unknown
java.awt.image.ColorModel,method,,getUnnormalizedComponents([FI[II)[I,-1,[I,false,Unknown
java.awt.image.ColorModel,method,,getUnnormalizedComponents([FI[II)[I,0,[F,false,Unknown
java.awt.image.ColorModel,method,,getUnnormalizedComponents([FI[II)[I,1,I,true,Unknown
java.awt.image.ColorModel,method,,getUnnormalizedComponents([FI[II)[I,2,[I,false,Unknown
java.awt.image.ColorModel,method,,getUnnormalizedComponents([FI[II)[I,3,I,true,Unknown
java.awt.image.ColorModel,method,,getNormalizedComponents([II[FI)[F,-1,[F,false,Unknown
java.awt.image.ColorModel,method,,getNormalizedComponents([II[FI)[F,0,[I,false,Unknown
java.awt.image.ColorModel,method,,getNormalizedComponents([II[FI)[F,1,I,true,Unknown
java.awt.image.ColorModel,method,,getNormalizedComponents([II[FI)[F,2,[F,false,Unknown
java.awt.image.ColorModel,method,,getNormalizedComponents([II[FI)[F,3,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElement([II)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElement([II)I,0,[I,false,Unknown
java.awt.image.ColorModel,method,,getDataElement([II)I,1,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElements([IILjava/lang/Object;)Ljava/lang/Object;,-1,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getDataElements([IILjava/lang/Object;)Ljava/lang/Object;,0,[I,false,Unknown
java.awt.image.ColorModel,method,,getDataElements([IILjava/lang/Object;)Ljava/lang/Object;,1,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElements([IILjava/lang/Object;)Ljava/lang/Object;,2,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getDataElement([FI)I,-1,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElement([FI)I,0,[F,false,Unknown
java.awt.image.ColorModel,method,,getDataElement([FI)I,1,I,true,Unknown
java.awt.image.ColorModel,method,,getDataElements([FILjava/lang/Object;)Ljava/lang/Object;,-1,Ljava/lang/Object;,false,Unknown
java.awt.image.ColorModel,method,,getDataElements([FILjava/lang/Object;)Ljava/lang/Object;,0,[F,false,Unknown
