class,attribute,visibility,name,getter,index,internal,nullness,n
com.google.common.collect.TreeMultiset,method,public,add(Ljava/lang/Object;)Z,false,0,false,UNKNOWN,1
com.google.common.cache.LocalCache$Values,method,private,<init>(Lcom/google/common/cache/LocalCache;Ljava/util/concurrent/ConcurrentMap;)V,false,1,true,NON_NULL,1
com.google.common.collect.ImmutableList,method,public,subList(II)Lcom/google/common/collect/ImmutableList;,false,1,true,NON_NULL,7
com.google.common.util.concurrent.SimpleTimeLimiter,method,private,access$100(Lcom/google/common/util/concurrent/SimpleTimeLimiter;Ljava/util/concurrent/Callable;JLjava/util/concurrent/TimeUnit;Z)Ljava/lang/Object;,false,4,true,NON_NULL,1
com.google.common.cache.CacheBuilder,method,public,initialCapacity(I)Lcom/google/common/cache/CacheBuilder;,false,0,false,NON_NULL,2
com.google.common.util.concurrent.CycleDetectingLockFactory$Policies$3,method,private,<init>(Ljava/lang/String;I)V,false,0,true,NON_NULL,1
com.google.common.collect.Maps,method,public,filterEntries(Ljava/util/NavigableMap;Lcom/google/common/base/Predicate;)Ljava/util/NavigableMap;,false,0,true,UNKNOWN,4
com.google.common.util.concurrent.AbstractIdleService$DelegateService,method,private,<init>(Lcom/google/common/util/concurrent/AbstractIdleService;Lcom/google/common/util/concurrent/AbstractIdleService$1;)V,false,1,true,NULL,1
com.google.common.math.LinearTransformation$RegularLinearTransformation,method,private,<init>(DDLcom/google/common/math/LinearTransformation;)V,false,2,true,NON_NULL,1
com.google.common.collect.RangeSet,method,public,removeAll(Ljava/lang/Iterable;)V,false,0,true,UNKNOWN,1
com.google.common.io.BaseEncoding$1,method,private,<init>(Lcom/google/common/io/BaseEncoding;Lcom/google/common/io/CharSink;)V,false,0,true,NON_NULL,1
com.google.common.eventbus.AsyncEventBus,method,public,<init>(Ljava/lang/String;Ljava/util/concurrent/Executor;)V,false,1,false,UNKNOWN,2
com.google.common.collect.ImmutableSortedSet$1,method,private,<init>(Lcom/google/common/collect/ImmutableSortedSet;JI)V,false,2,true,NON_NULL,1
com.google.common.base.MoreObjects$ToStringHelper,method,public,add(Ljava/lang/String;J)Lcom/google/common/base/MoreObjects$ToStringHelper;,false,0,true,NON_NULL,10
com.google.common.escape.Escapers$Builder$1,method,private,<init>(Lcom/google/common/escape/Escapers$Builder;Ljava/util/Map;CC)V,false,3,true,NON_NULL,1
com.google.common.hash.Striped64,method,private,casBase(JJ)Z,false,1,true,NON_NULL,1
com.google.common.base.CaseFormat$5,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)V,false,2,true,UNKNOWN,1
com.google.common.util.concurrent.AbstractFuture$Listener,method,private,<init>(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)V,false,1,true,NON_NULL,1
com.google.common.collect.Iterators,method,public,addAll(Ljava/util/Collection;Ljava/util/Iterator;)Z,false,1,true,NON_NULL,2
com.google.common.collect.AbstractMultiset,method,public,equals(Ljava/lang/Object;)Z,false,0,true,UNKNOWN,5
com.google.common.collect.Range,method,public,range(Ljava/lang/Comparable;Lcom/google/common/collect/BoundType;Ljava/lang/Comparable;Lcom/google/common/collect/BoundType;)Lcom/google/common/collect/Range;,false,0,true,NON_NULL,1
com.google.common.primitives.Longs,method,private,access$000([JJII)I,false,2,true,NON_NULL,2
com.google.common.collect.Serialization$FieldSetter,method,private,set(Ljava/lang/Object;Ljava/lang/Object;)V,false,1,true,UNKNOWN,6
com.google.common.collect.Maps,method,public,uniqueIndex(Ljava/lang/Iterable;Lcom/google/common/base/Function;)Lcom/google/common/collect/ImmutableMap;,false,1,true,UNKNOWN,1
com.google.common.collect.Sets,method,public,difference(Ljava/util/Set;Ljava/util/Set;)Lcom/google/common/collect/Sets$SetView;,false,0,false,UNKNOWN,1
com.google.common.util.concurrent.AbstractFuture$AtomicHelper,method,private,putNext(Lcom/google/common/util/concurrent/AbstractFuture$Waiter;Lcom/google/common/util/concurrent/AbstractFuture$Waiter;)V,false,1,true,UNKNOWN,1
com.google.common.base.Preconditions,method,public,checkArgument(ZLjava/lang/String;JLjava/lang/Object;)V,false,3,true,NON_NULL,1
com.google.common.hash.HashCode,method,public,writeBytesTo([BII)I,false,1,true,NON_NULL,1
com.google.common.collect.Iterators,method,public,addAll(Ljava/util/Collection;Ljava/util/Iterator;)Z,false,1,true,UNKNOWN,9
com.google.common.collect.Maps$TransformedEntriesSortedMap,method,private,<init>(Ljava/util/SortedMap;Lcom/google/common/collect/Maps$EntryTransformer;)V,false,1,true,UNKNOWN,2
com.google.common.collect.Synchronized$SynchronizedMap,method,private,<init>(Ljava/util/Map;Ljava/lang/Object;)V,false,0,true,UNKNOWN,4
com.google.common.collect.Synchronized,method,private,access$300(Ljava/util/Set;Ljava/lang/Object;)Ljava/util/Set;,false,0,true,UNKNOWN,3
com.google.common.reflect.TypeToken$TypeCollector$ForwardingTypeCollector,method,private,getRawType(Ljava/lang/Object;)Ljava/lang/Class;,false,0,true,UNKNOWN,1
com.google.common.reflect.TypeToken$TypeFilter$2,method,private,<init>(Ljava/lang/String;I)V,false,0,true,NON_NULL,1
com.google.common.collect.ImmutableSortedSet$SerializedForm,method,public,<init>(Ljava/util/Comparator;[Ljava/lang/Object;)V,false,0,true,UNKNOWN,1
com.google.common.math.Stats,method,private,<init>(JDDDD)V,false,1,true,NON_NULL,1
com.google.common.graph.ConfigurableNetwork,method,public,edgesConnecting(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Set;,false,0,true,UNKNOWN,1
com.google.common.hash.LongAddables$PureJavaLongAddable,method,private,<init>(Lcom/google/common/hash/LongAddables$1;)V,false,0,true,NULL,1
com.google.common.collect.ImmutableList,method,public,of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Object;)Lcom/google/common/collect/ImmutableList;,false,2,false,NON_NULL,2
com.google.common.collect.TreeTraverser,method,public,preOrderTraversal(Ljava/lang/Object;)Lcom/google/common/collect/FluentIterable;,false,0,false,UNKNOWN,5
com.google.common.hash.Hasher,method,public,putUnencodedChars(Ljava/lang/CharSequence;)Lcom/google/common/hash/Hasher;,false,0,true,NON_NULL,1
com.google.common.collect.MinMaxPriorityQueue,method,private,initialQueueSize(IILjava/lang/Iterable;)I,false,0,true,NON_NULL,1
com.google.common.collect.Sets$SubSet,method,private,access$100(Lcom/google/common/collect/Sets$SubSet;)Lcom/google/common/collect/ImmutableMap;,false,0,true,UNKNOWN,1
com.google.common.hash.MessageDigestHashFunction$SerializedForm,method,private,<init>(Ljava/lang/String;ILjava/lang/String;Lcom/google/common/hash/MessageDigestHashFunction$1;)V,false,0,true,UNKNOWN,1
com.google.common.base.PatternCompiler,method,public,compile(Ljava/lang/String;)Lcom/google/common/base/CommonPattern;,false,0,true,NON_NULL,1
com.google.common.collect.AbstractBiMap,method,private,access$500(Lcom/google/common/collect/AbstractBiMap;Ljava/lang/Object;ZLjava/lang/Object;Ljava/lang/Object;)V,false,3,true,UNKNOWN,1
com.google.common.collect.Maps$AsMapView,method,private,<init>(Ljava/util/Set;Lcom/google/common/base/Function;)V,false,1,true,UNKNOWN,2
com.google.common.util.concurrent.CycleDetectingLockFactory$Policies$3,method,private,<init>(Ljava/lang/String;I)V,false,1,true,NON_NULL,1
com.google.common.primitives.ImmutableLongArray,method,private,access$000(Lcom/google/common/primitives/ImmutableLongArray;)[J,false,0,true,UNKNOWN,1
com.google.common.cache.RemovalCause$3,method,private,<init>(Ljava/lang/String;I)V,false,0,true,NON_NULL,1
com.google.common.collect.MapMakerInternalMap$StrongKeyDummyValueSegment,method,private,<init>(Lcom/google/common/collect/MapMakerInternalMap;II)V,false,0,true,UNKNOWN,1
com.google.common.base.Joiner$1,method,private,<init>(Lcom/google/common/base/Joiner;Lcom/google/common/base/Joiner;Ljava/lang/String;)V,false,2,true,NON_NULL,1
com.google.common.util.concurrent.Futures,method,public,addCallback(Lcom/google/common/util/concurrent/ListenableFuture;Lcom/google/common/util/concurrent/FutureCallback;Ljava/util/concurrent/Executor;)V,false,0,true,NON_NULL,1
com.google.common.collect.Iterables,method,public,get(Ljava/lang/Iterable;I)Ljava/lang/Object;,false,1,false,NON_NULL,3
com.google.common.util.concurrent.TrustedListenableFutureTask,method,private,create(Ljava/lang/Runnable;Ljava/lang/Object;)Lcom/google/common/util/concurrent/TrustedListenableFutureTask;,false,1,true,UNKNOWN,1
com.google.common.hash.Hasher,method,public,putDouble(D)Lcom/google/common/hash/Hasher;,false,0,true,NON_NULL,1
com.google.common.collect.ImmutableSortedMultiset,method,public,headMultiset(Ljava/lang/Object;Lcom/google/common/collect/BoundType;)Lcom/google/common/collect/ImmutableSortedMultiset;,false,0,true,UNKNOWN,1
com.google.common.collect.CollectSpliterators,method,private,flatMap(Ljava/util/Spliterator;Ljava/util/function/Function;IJ)Ljava/util/Spliterator;,false,3,true,NON_NULL,6
com.google.common.collect.Iterables,method,public,concat(Ljava/lang/Iterable;Ljava/lang/Iterable;)Ljava/lang/Iterable;,false,1,true,UNKNOWN,2
com.google.common.collect.Serialization,method,private,writeMultiset(Lcom/google/common/collect/Multiset;Ljava/io/ObjectOutputStream;)V,false,1,true,NON_NULL,4
com.google.common.util.concurrent.Futures$InCompletionOrderState,method,private,access$300(Lcom/google/common/util/concurrent/Futures$InCompletionOrderState;Lcom/google/common/collect/ImmutableList;I)V,false,0,true,UNKNOWN,1
com.google.common.collect.Maps$MapDifferenceImpl,method,private,<init>(Ljava/util/Map;Ljava/util/Map;Ljava/util/Map;Ljava/util/Map;)V,false,2,true,UNKNOWN,2
com.google.common.util.concurrent.Futures$InCompletionOrderState,method,private,access$400(Lcom/google/common/util/concurrent/Futures$InCompletionOrderState;Z)V,false,1,true,NON_NULL,1
com.google.common.collect.CollectSpliterators,method,private,indexed(IILjava/util/function/IntFunction;Ljava/util/Comparator;)Ljava/util/Spliterator;,false,0,true,NON_NULL,1
com.google.common.math.LongMath$MillerRabinTester$2,method,private,<init>(Ljava/lang/String;I)V,false,0,true,NON_NULL,1
com.google.common.util.concurrent.SimpleTimeLimiter$1,method,private,<init>(Lcom/google/common/util/concurrent/SimpleTimeLimiter;Ljava/lang/Object;JLjava/util/concurrent/TimeUnit;Ljava/util/Set;)V,false,4,true,UNKNOWN,1
com.google.common.graph.AbstractValueGraph,method,public,degree(Ljava/lang/Object;)I,false,0,true,UNKNOWN,1
com.google.common.collect.ImmutableSet,method,public,of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableSet;,false,3,false,NON_NULL,8
com.google.common.util.concurrent.Futures,method,public,immediateFailedFuture(Ljava/lang/Throwable;)Lcom/google/common/util/concurrent/ListenableFuture;,false,0,true,UNKNOWN,1
com.google.common.primitives.Longs,method,public,fromBytes(BBBBBBBB)J,false,4,true,NON_NULL,4
com.google.common.reflect.TypeToken$TypeCollector$4,method,private,<init>(Ljava/util/Comparator;Ljava/util/Map;)V,false,0,true,UNKNOWN,1
com.google.common.collect.Maps,method,public,newHashMapWithExpectedSize(I)Ljava/util/HashMap;,false,0,true,NON_NULL,8
com.google.common.base.CommonPattern,method,private,matcher(Ljava/lang/CharSequence;)Lcom/google/common/base/CommonMatcher;,false,0,true,UNKNOWN,2
com.google.common.collect.Count,method,public,add(I)V,false,0,true,NON_NULL,2
com.google.common.graph.Traverser$GraphTraverser$2,method,private,<init>(Lcom/google/common/graph/Traverser$GraphTraverser;Ljava/lang/Object;)V,false,1,true,NON_NULL,1
com.google.common.collect.ListMultimap,method,public,replaceValues(Ljava/lang/Object;Ljava/lang/Iterable;)Ljava/util/List;,false,1,false,UNKNOWN,2
com.google.common.collect.ImmutableMap,method,public,of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMap;,false,7,false,UNKNOWN,12
com.google.common.cache.LocalCache$WeakWriteEntry,method,private,<init>(Ljava/lang/ref/ReferenceQueue;Ljava/lang/Object;ILcom/google/common/cache/LocalCache$ReferenceEntry;)V,false,1,true,UNKNOWN,1
com.google.common.collect.Streams$2,method,private,<init>(JILjava/util/Iterator;Lcom/google/common/collect/Streams$FunctionWithIndex;)V,false,2,true,UNKNOWN,1
com.google.common.util.concurrent.AggregateFutureState,method,private,access$202(Lcom/google/common/util/concurrent/AggregateFutureState;Ljava/util/Set;)Ljava/util/Set;,false,1,true,UNKNOWN,1
com.google.common.hash.Funnels$StringCharsetFunnel$SerializedForm,method,private,<init>(Ljava/nio/charset/Charset;)V,false,0,true,UNKNOWN,1
com.google.common.collect.ImmutableMap,method,public,equals(Ljava/lang/Object;)Z,false,0,true,UNKNOWN,3
com.google.common.hash.PrimitiveSink,method,public,putBytes([BII)Lcom/google/common/hash/PrimitiveSink;,false,1,true,NON_NULL,1
com.google.common.base.Preconditions,method,public,checkArgument(ZLjava/lang/String;JLjava/lang/Object;)V,false,0,true,NON_NULL,3
com.google.common.reflect.TypeToken$2,method,private,<init>(Lcom/google/common/reflect/TypeToken;Ljava/lang/reflect/Constructor;)V,false,1,true,NON_NULL,1
com.google.common.collect.TreeRangeSet$ComplementRangesByLowerBound$2,method,private,<init>(Lcom/google/common/collect/TreeRangeSet$ComplementRangesByLowerBound;Lcom/google/common/collect/Cut;Lcom/google/common/collect/PeekingIterator;)V,false,2,true,NON_NULL,1
com.google.common.collect.DiscreteDomain,method,public,distance(Ljava/lang/Comparable;Ljava/lang/Comparable;)J,false,1,true,UNKNOWN,2
com.google.common.collect.Maps,method,public,toMap(Ljava/lang/Iterable;Lcom/google/common/base/Function;)Lcom/google/common/collect/ImmutableMap;,false,0,true,UNKNOWN,1
com.google.common.collect.Iterators,method,private,cast(Ljava/util/Iterator;)Ljava/util/ListIterator;,false,0,true,UNKNOWN,1
com.google.common.collect.ImmutableMap$Builder,method,public,put(Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMap$Builder;,false,0,false,UNKNOWN,47
com.google.common.collect.SetMultimap,method,public,removeAll(Ljava/lang/Object;)Ljava/util/Set;,false,0,false,NON_NULL,2
com.google.common.cache.LocalCache$Strength,method,private,referenceValue(Lcom/google/common/cache/LocalCache$Segment;Lcom/google/common/cache/LocalCache$ReferenceEntry;Ljava/lang/Object;I)Lcom/google/common/cache/LocalCache$ValueReference;,false,3,true,NON_NULL,2
com.google.common.util.concurrent.Monitor,method,public,enterWhenUninterruptibly(Lcom/google/common/util/concurrent/Monitor$Guard;)V,false,0,true,UNKNOWN,4
com.google.common.collect.Sets$2,method,private,<init>(Ljava/util/Set;Ljava/util/Set;)V,false,0,true,NON_NULL,1
com.google.common.collect.ImmutableCollection,method,private,copyIntoArray([Ljava/lang/Object;I)I,false,1,true,NON_NULL,2
com.google.common.collect.Multisets$MultisetIteratorImpl,method,private,<init>(Lcom/google/common/collect/Multiset;Ljava/util/Iterator;)V,false,0,true,NON_NULL,1
com.google.common.hash.BloomFilterStrategies$LockFreeBitArray,method,private,get(J)Z,false,0,true,NON_NULL,2
com.google.common.collect.Multimap,method,public,putAll(Ljava/lang/Object;Ljava/lang/Iterable;)Z,false,0,false,UNKNOWN,17
com.google.common.collect.FluentIterable,method,public,concat(Ljava/lang/Iterable;)Lcom/google/common/collect/FluentIterable;,false,0,true,UNKNOWN,1
com.google.common.collect.Sets,method,private,removeAllImpl(Ljava/util/Set;Ljava/util/Iterator;)Z,false,0,true,UNKNOWN,1
com.google.common.collect.ImmutableMap,method,public,of(Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableMap;,false,1,true,UNKNOWN,9
com.google.common.collect.ImmutableListMultimap,method,public,of(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableListMultimap;,false,7,true,UNKNOWN,1
com.google.common.collect.Multimaps,method,public,filterKeys(Lcom/google/common/collect/SetMultimap;Lcom/google/common/base/Predicate;)Lcom/google/common/collect/SetMultimap;,false,0,true,UNKNOWN,3
com.google.common.collect.MapMakerInternalMap$HashIterator,method,private,<init>(Lcom/google/common/collect/MapMakerInternalMap;)V,false,0,true,UNKNOWN,3
com.google.common.io.CharStreams,method,public,readLines(Ljava/lang/Readable;Lcom/google/common/io/LineProcessor;)Ljava/lang/Object;,false,0,false,NON_NULL,5
com.google.common.hash.BloomFilterStrategies$2,method,private,<init>(Ljava/lang/String;I)V,false,0,true,NON_NULL,1
com.google.common.collect.ImmutableSortedMultiset$Builder,method,public,<init>(Ljava/util/Comparator;)V,false,0,true,NON_NULL,1
com.google.common.collect.Range,method,public,range(Ljava/lang/Comparable;Lcom/google/common/collect/BoundType;Ljava/lang/Comparable;Lcom/google/common/collect/BoundType;)Lcom/google/common/collect/Range;,false,1,true,UNKNOWN,5
com.google.common.collect.Sets$CartesianSet$1,method,private,<init>(Lcom/google/common/collect/ImmutableList;)V,false,0,true,UNKNOWN,1
com.google.common.collect.Ordering,method,public,max(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;,false,0,true,UNKNOWN,2
com.google.common.base.Preconditions,method,public,checkArgument(ZLjava/lang/String;I)V,false,1,true,NON_NULL,46
